      10.000     73.76928      10.0
      10.625     69.33295      10.0
      11.250     65.40469      10.0
      11.875     61.90276      10.0
      12.500     58.76255      10.0
      13.125     55.93042      10.0
      13.750     53.36398      10.0
      14.375     51.02807      10.0
      15.000     48.89384      10.0
      15.625     47.01907      10.0
      16.250     45.29121      10.0
      16.875     43.69467      10.0
      17.500     42.21540      10.0
      18.125     40.84098      10.0
      18.750     39.56018      10.0
      19.375     38.36435      10.0
      20.000     37.24629      10.0
      20.625     36.27220      10.0
      21.250     35.35308      10.0
      21.875     34.48518      10.0
      22.500     33.66388      10.0
      23.125     32.88631      10.0
      23.750     32.14788      10.0
      24.375     31.44666      10.0
      25.000     30.77992      10.0
      25.625     30.20534      10.0
      26.250     29.65346      10.0
      26.875     29.12286      10.0
      27.500     28.61254      10.0
      28.125     28.12169      10.0
      28.750     27.64915      10.0
      29.375     27.19327      10.0
      30.000     26.75467      10.0
      30.625     26.37683      10.0
      31.250     26.00862      10.0
      31.875     25.65000      10.0
      32.500     25.30035      10.0
      33.125     24.95943      10.0
      33.750     24.62808      10.0
      34.375     24.30555      10.0
      35.000     23.99142      10.0
      35.625     23.71847      10.0
      36.250     23.44985      10.0
      36.875     23.18611      10.0
      37.500     22.92692      10.0
      38.125     22.67264      10.0
      38.750     22.42314      10.0
      39.375     22.17887      10.0
      40.000     21.93964      10.0
      40.625     21.72871      10.0
      41.250     21.52093      10.0
      41.875     21.31531      10.0
      42.500     21.11317      10.0
      43.125     20.91367      10.0
      43.750     20.71734      10.0
      44.375     20.52431      10.0
      45.000     20.33452      10.0
      45.625     20.16559      10.0
      46.250     19.99847      10.0
      46.875     19.83323      10.0
      47.500     19.67000      10.0
      48.125     19.50882      10.0
      48.750     19.35003      10.0
      49.375     19.19333      10.0
      50.000     19.03930      10.0
      51.250     18.76295      10.0
      51.875     18.62736      10.0
      52.500     18.49244      10.0
      53.125     18.35965      10.0
      53.750     18.22885      10.0
      54.375     18.09944      10.0
      55.000     17.97151      10.0
      56.250     17.74112      10.0
      56.875     17.62747      10.0
      57.500     17.51521      10.0
      58.125     17.40401      10.0
      58.750     17.29419      10.0
      59.375     17.18573      10.0
      60.000     17.07838      10.0
      61.250     16.88340      10.0
      62.500     16.69266      10.0
      63.750     16.50594      10.0
      64.375     16.41418      10.0
      65.000     16.32351      10.0
      66.250     16.15782      10.0
      67.500     15.99507      10.0
      68.750     15.83550      10.0
      70.000     15.67872      10.0
      71.250     15.53664      10.0
      72.500     15.39592      10.0
      73.750     15.25855      10.0
      75.000     15.12397      10.0
      76.250     14.99987      10.0
      77.500     14.87814      10.0
      78.750     14.75839      10.0
      80.000     14.64122      10.0
      82.500     14.42656      10.0
      83.750     14.32183      10.0
      85.000     14.21926      10.0
      87.500     14.03070      10.0
      90.000     13.84852      10.0
      92.500     13.68193      10.0
      95.000     13.52054      10.0
      97.500     13.37263      10.0
     100.000     13.22935      10.0
     105.000     12.96918      10.0
     110.000     12.73599      10.0
     115.000     12.52597      10.0
     120.000     12.33661      10.0
     125.000     12.16502      10.0
     130.000     12.00966      10.0
     135.000     11.86714      10.0
     140.000     11.73757      10.0
     145.000     11.61860      10.0
     150.000     11.51103      10.0
     155.000     11.41131      10.0
     160.000     11.31886      10.0
     165.000     11.23496      10.0
     170.000     11.15666      10.0
     175.000     11.08537      10.0
     180.000     11.01840      10.0
     185.000     10.95643      10.0
     190.000     10.90017      10.0
     195.000     10.84707      10.0
     200.000     10.79791      10.0
     205.000     10.75265      10.0
     210.000     10.71044      10.0
     215.000     10.67126      10.0
     220.000     10.63513      10.0
     227.940     10.58270      10.0
     227.960     10.58251      10.0
     228.500     10.57914      10.0
     229.580     10.57246      10.0
     230.000     10.56939      10.0
     231.000     10.56354      10.0
     233.000     10.55200      10.0
     234.000     10.54631      10.0
     234.350     10.54397      10.0
     234.450     10.54395      10.0
     234.550     10.54303      10.0
     235.550     10.53742      10.0
     235.950     10.53555      10.0
     236.950     10.53001      10.0
     237.340     10.52736      10.0
     237.440     10.52736      10.0
     237.540     10.52644      10.0
     238.000     10.52407      10.0
     239.000     10.51864      10.0
     240.000     10.51325      10.0
     242.000     10.50264      10.0
     242.520     10.49984      10.0
     243.040     10.49798      10.0
     243.140     10.49709      10.0
     243.240     10.49713      10.0
     243.620     10.49467      10.0
     244.000     10.49316      10.0
     245.000     10.48803      10.0
     247.000     10.47886      10.0
     249.500     10.46650      10.0
     254.500     10.44463      10.0
     255.000     10.44231      10.0
     256.000     10.43772      10.0
     256.330     10.43689      10.0
     256.430     10.43604      10.0
     256.530     10.43617      10.0
     257.530     10.43166      10.0
     258.000     10.42967      10.0
     259.000     10.42622      10.0
     260.000     10.42182      10.0
     262.000     10.41418      10.0
     266.000     10.39949      10.0
     270.000     10.38457      10.0
     278.000     10.35915      10.0
     280.000     10.35329      10.0
     284.000     10.34151      10.0
     290.000     10.32506      10.0
     300.000     10.30055      10.0
     302.000     10.29612      10.0
     303.000     10.29386      10.0
     303.340     10.29311      10.0
     303.680     10.29236      10.0
     303.780     10.29213      10.0
     303.880     10.29189      10.0
     304.440     10.29079      10.0
     305.000     10.28959      10.0
     306.120     10.28710      10.0
     307.500     10.28430      10.0
     310.000     10.27918      10.0
     315.000     10.26940      10.0
     320.000     10.26012      10.0
     330.000     10.24340      10.0
     340.000     10.22840      10.0
     350.000     10.21499      10.0
     360.000     10.20275      10.0
     370.000     10.19172      10.0
     380.000     10.18147      10.0
     390.000     10.17189      10.0
     400.000     10.16306      10.0
     410.000     10.15454      10.0
     420.000     10.14664      10.0
